operation_id,operation_ts,site_id,asset_id,shift,sendout_mmscfd,throughput_mmbtu,boiloff_rate_pct,uptime_pct,downtime_hours,maintenance_type,maintenance_cost_usd,incident_count,status
OP00151,2026-05-01 00:00:00,S003,A008,NIGHT,661.79,896092.68,0.546,97.86,0.15,NONE,0.0,0,NORMAL
OP00152,2026-05-03 04:00:00,S004,A011,NIGHT,208.57,285101.12,0.169,97.72,0.03,NONE,0.0,0,NORMAL
OP00153,2026-05-05 08:00:00,S001,A003,DAY,453.06,599530.65,0.275,95.97,0.09,NONE,0.0,0,NORMAL
OP00154,2026-05-07 12:00:00,S002,A006,DAY,101.12,131924.28,0.369,98.14,0.14,NONE,0.0,0,NORMAL
OP00155,2026-05-09 16:00:00,S003,A009,DAY,524.53,681057.24,0.629,95.65,0.43,INSPECTION,1414.83,0,NORMAL
OP00156,2026-05-11 20:00:00,S004,A012,NIGHT,231.16,320698.04,0.144,98.24,0.15,NONE,0.0,0,NORMAL
OP00157,2026-05-13 00:00:00,S001,A001,NIGHT,378.45,478526.43,0.605,98.7,0.18,NONE,0.0,0,NORMAL
OP00158,2026-05-15 04:00:00,S002,A004,NIGHT,86.8,121578.41,0.614,95.85,0.16,NONE,0.0,0,NORMAL
OP00159,2026-05-17 08:00:00,S003,A007,DAY,581.29,788381.08,0.365,97.11,0.14,NONE,0.0,0,NORMAL
OP00160,2026-05-19 12:00:00,S004,A010,DAY,253.93,351573.12,0.354,97.11,0.22,NONE,0.0,0,NORMAL
OP00161,2026-05-21 16:00:00,S001,A002,DAY,452.51,630443.99,0.238,98.43,0.24,NONE,0.0,0,NORMAL
OP00162,2026-05-23 20:00:00,S002,A005,NIGHT,107.54,134506.45,0.691,98.18,1.74,PREVENTIVE,7764.91,0,NORMAL
OP00163,2026-05-25 00:00:00,S003,A008,NIGHT,634.55,831404.83,0.669,97.98,0.18,NONE,0.0,0,NORMAL
OP00164,2026-05-27 04:00:00,S004,A011,NIGHT,212.03,276776.32,0.694,96.71,0.22,NONE,0.0,0,NORMAL
OP00165,2026-05-29 08:00:00,S001,A003,DAY,374.85,487895.75,0.433,96.6,0.07,NONE,0.0,0,NORMAL
OP00166,2026-05-31 12:00:00,S002,A006,DAY,103.15,129979.57,0.19,96.12,0.42,INSPECTION,3156.61,0,NORMAL
OP00167,2026-06-02 16:00:00,S003,A009,DAY,676.31,849439.41,0.663,96.63,0.07,NONE,0.0,0,NORMAL
OP00168,2026-06-04 20:00:00,S004,A012,NIGHT,221.38,281741.01,0.24,98.75,0.24,NONE,0.0,0,NORMAL
OP00169,2026-06-06 00:00:00,S001,A001,NIGHT,403.02,555317.22,0.529,97.16,1.29,PREVENTIVE,4191.96,0,NORMAL
OP00170,2026-06-08 04:00:00,S002,A004,NIGHT,90.38,122529.51,0.61,96.96,0.14,NONE,0.0,0,NORMAL
OP00171,2026-06-10 08:00:00,S003,A007,DAY,594.9,833780.79,0.342,97.61,0.04,NONE,0.0,0,NORMAL
OP00172,2026-06-12 12:00:00,S004,A010,DAY,284.03,387754.5,0.685,95.95,0.16,NONE,0.0,0,NORMAL
OP00173,2026-06-14 16:00:00,S001,A002,DAY,362.44,464887.76,0.33,97.69,0.13,NONE,0.0,0,NORMAL
OP00174,2026-06-16 20:00:00,S002,A005,NIGHT,98.83,130818.44,0.495,97.76,0.2,NONE,0.0,0,NORMAL
OP00175,2026-06-18 00:00:00,S003,A008,NIGHT,519.03,671984.95,0.439,97.54,6.87,CORRECTIVE,24412.16,0,WATCH
OP00176,2026-06-20 04:00:00,S004,A011,NIGHT,227.56,319354.58,0.356,96.86,0.91,PREVENTIVE,4160.96,0,NORMAL
OP00177,2026-06-22 08:00:00,S001,A003,DAY,423.71,576365.31,0.312,96.3,1.07,INSPECTION,1541.6,0,NORMAL
OP00178,2026-06-24 12:00:00,S002,A006,DAY,84.27,114072.06,0.496,97.51,0.02,NONE,0.0,0,NORMAL
OP00179,2026-06-26 16:00:00,S003,A009,DAY,654.1,901288.26,0.232,96.47,0.24,NONE,0.0,0,NORMAL
OP00180,2026-06-28 20:00:00,S004,A012,NIGHT,270.13,363357.63,0.65,97.34,0.11,NONE,0.0,0,NORMAL
OP00181,2026-01-01 00:00:00,S001,A001,NIGHT,423.11,556204.11,0.663,98.77,0.16,NONE,0.0,0,NORMAL
OP00182,2026-01-03 04:00:00,S002,A004,NIGHT,107.83,139898.58,0.575,95.71,0.07,NONE,0.0,0,NORMAL
OP00183,2026-01-05 08:00:00,S003,A007,DAY,631.87,831297.34,0.359,97.84,2.21,PREVENTIVE,6501.28,0,WATCH
OP00184,2026-01-07 12:00:00,S004,A010,DAY,273.89,356827.3,0.232,97.31,0.2,NONE,0.0,0,NORMAL
OP00185,2026-01-09 16:00:00,S001,A002,DAY,472.62,599702.31,0.163,96.06,0.18,NONE,0.0,0,NORMAL
OP00186,2026-01-11 20:00:00,S002,A005,NIGHT,100.61,140371.69,0.554,96.01,0.21,NONE,0.0,0,NORMAL
OP00187,2026-01-13 00:00:00,S003,A008,NIGHT,518.69,691424.62,0.692,97.62,0.01,NONE,0.0,0,NORMAL
OP00188,2026-01-15 04:00:00,S004,A011,NIGHT,243.81,320147.27,0.565,95.94,0.77,INSPECTION,4149.15,0,NORMAL
OP00189,2026-01-17 08:00:00,S001,A003,DAY,365.75,458169.16,0.332,97.92,0.08,NONE,0.0,1,ALARM
OP00190,2026-01-19 12:00:00,S002,A006,DAY,97.46,127884.34,0.541,97.99,1.37,PREVENTIVE,10296.64,0,NORMAL
OP00191,2026-01-21 16:00:00,S003,A009,DAY,661.31,866036.17,0.439,95.87,0.03,NONE,0.0,0,NORMAL
OP00192,2026-01-23 20:00:00,S004,A012,NIGHT,282.28,395045.57,0.439,97.04,0.22,NONE,0.0,0,NORMAL
OP00193,2026-01-25 00:00:00,S001,A001,NIGHT,417.89,567660.17,0.167,95.72,0.13,NONE,0.0,0,NORMAL
OP00194,2026-01-27 04:00:00,S002,A004,NIGHT,92.37,123224.23,0.655,98.41,0.02,NONE,0.0,0,NORMAL
OP00195,2026-01-29 08:00:00,S003,A007,DAY,537.89,729468.68,0.679,97.93,0.2,NONE,0.0,0,NORMAL
OP00196,2026-01-31 12:00:00,S004,A010,DAY,262.61,341426.81,0.188,96.39,0.15,NONE,0.0,0,NORMAL
OP00197,2026-02-02 16:00:00,S001,A002,DAY,430.48,600537.38,0.401,96.19,1.12,PREVENTIVE,8021.51,0,NORMAL
OP00198,2026-02-04 20:00:00,S002,A005,NIGHT,96.45,129640.45,0.569,97.31,0.24,NONE,0.0,0,NORMAL
OP00199,2026-02-06 00:00:00,S003,A008,NIGHT,602.81,813934.03,0.684,98.32,0.52,INSPECTION,2848.13,0,NORMAL
OP00200,2026-02-08 04:00:00,S004,A011,NIGHT,222.39,279136.41,0.389,97.67,0.04,NONE,0.0,0,NORMAL
