operation_id,operation_ts,site_id,asset_id,shift,sendout_mmscfd,throughput_mmbtu,boiloff_rate_pct,uptime_pct,downtime_hours,maintenance_type,maintenance_cost_usd,incident_count,status
OP00015,2026-01-29 08:00:00,S003,A007,DAY,501.76,629016.56,0.173,97.99,1.0,PREVENTIVE,9617.85,0,NORMAL
OP00016,2026-01-31 12:00:00,S004,A010,DAY,210.04,289567.93,0.299,97.69,0.19,NONE,0.0,0,NORMAL
OP00017,2026-02-02 16:00:00,S001,A002,DAY,386.45,531819.05,0.244,97.75,0.19,NONE,0.0,0,NORMAL
OP00018,2026-02-04 20:00:00,S002,A005,NIGHT,92.54,119416.9,0.315,96.24,0.14,NONE,0.0,0,NORMAL
OP00019,2026-02-06 00:00:00,S003,A008,NIGHT,660.52,910859.12,0.427,96.96,0.23,NONE,0.0,0,NORMAL
OP00020,2026-02-08 04:00:00,S004,A011,NIGHT,255.68,355682.48,0.123,96.21,0.12,NONE,0.0,0,NORMAL
OP00021,2026-02-10 08:00:00,S001,A003,DAY,420.35,547655.25,0.699,98.12,0.07,NONE,0.0,0,NORMAL
OP00022,2026-02-12 12:00:00,S002,A006,DAY,82.74,111914.5,0.657,97.15,0.64,PREVENTIVE,4309.0,0,NORMAL
OP00023,2026-02-14 16:00:00,S003,A009,DAY,514.26,645001.72,0.245,96.6,1.19,INSPECTION,1911.93,0,NORMAL
OP00024,2026-02-16 20:00:00,S004,A012,NIGHT,275.7,359717.84,0.249,95.62,0.15,NONE,0.0,0,NORMAL
OP00025,2026-02-18 00:00:00,S001,A001,NIGHT,375.99,501152.55,0.48,98.68,0.04,NONE,0.0,0,NORMAL
OP00026,2026-02-20 04:00:00,S002,A004,NIGHT,85.05,110457.02,0.303,97.89,0.22,NONE,0.0,0,NORMAL
OP00027,2026-02-22 08:00:00,S003,A007,DAY,663.1,834024.35,0.695,96.67,0.01,NONE,0.0,0,NORMAL
OP00028,2026-02-24 12:00:00,S004,A010,DAY,272.65,382553.3,0.303,97.04,0.03,NONE,0.0,0,NORMAL
OP00029,2026-02-26 16:00:00,S001,A002,DAY,404.13,517683.46,0.478,97.72,0.82,PREVENTIVE,7123.41,0,NORMAL
OP00030,2026-02-28 20:00:00,S002,A005,NIGHT,95.06,129808.54,0.511,96.05,3.65,CORRECTIVE,41766.81,0,WATCH
OP00031,2026-03-02 00:00:00,S003,A008,NIGHT,543.22,740346.58,0.439,97.96,0.16,NONE,0.0,0,NORMAL
OP00032,2026-03-04 04:00:00,S004,A011,NIGHT,242.78,333618.71,0.456,96.34,0.13,NONE,0.0,0,NORMAL
OP00033,2026-03-06 08:00:00,S001,A003,DAY,440.09,582663.74,0.236,96.49,0.21,NONE,0.0,0,NORMAL
OP00034,2026-03-08 12:00:00,S002,A006,DAY,106.73,137172.19,0.547,98.67,0.74,INSPECTION,1691.87,0,NORMAL
OP00035,2026-03-10 16:00:00,S003,A009,DAY,547.21,719108.95,0.161,96.51,0.17,NONE,0.0,0,NORMAL
OP00036,2026-03-12 20:00:00,S004,A012,NIGHT,215.11,295225.17,0.33,96.11,2.11,PREVENTIVE,5632.5,0,WATCH
OP00037,2026-03-14 00:00:00,S001,A001,NIGHT,383.94,481896.87,0.131,97.74,0.05,NONE,0.0,0,NORMAL
OP00038,2026-03-16 04:00:00,S002,A004,NIGHT,105.7,143277.6,0.455,97.72,0.03,NONE,0.0,0,NORMAL
OP00039,2026-03-18 08:00:00,S003,A007,DAY,584.83,731248.45,0.173,96.73,0.14,NONE,0.0,0,NORMAL
OP00040,2026-03-20 12:00:00,S004,A010,DAY,241.68,331399.58,0.134,97.07,0.12,NONE,0.0,0,NORMAL
OP00041,2026-03-22 16:00:00,S001,A002,DAY,361.52,461260.81,0.243,96.66,0.07,NONE,0.0,0,NORMAL
OP00042,2026-03-24 20:00:00,S002,A005,NIGHT,113.09,149074.87,0.169,96.46,0.11,NONE,0.0,0,NORMAL
OP00043,2026-03-26 00:00:00,S003,A008,NIGHT,610.46,823778.07,0.397,96.26,1.03,PREVENTIVE,4541.89,0,NORMAL
OP00044,2026-03-28 04:00:00,S004,A011,NIGHT,255.25,344575.05,0.332,97.25,0.06,NONE,0.0,0,NORMAL
OP00045,2026-03-30 08:00:00,S001,A003,DAY,345.42,458945.71,0.195,95.97,0.34,INSPECTION,2901.03,0,NORMAL
OP00046,2026-04-01 12:00:00,S002,A006,DAY,99.3,135903.47,0.31,95.87,0.03,NONE,0.0,0,NORMAL
OP00047,2026-04-03 16:00:00,S003,A009,DAY,537.13,722488.65,0.691,96.33,0.23,NONE,0.0,0,NORMAL
OP00048,2026-04-05 20:00:00,S004,A012,NIGHT,266.33,352327.66,0.31,97.66,0.13,NONE,0.0,1,ALARM
OP00049,2026-04-07 00:00:00,S001,A001,NIGHT,425.65,584439.48,0.444,97.21,0.17,NONE,0.0,0,NORMAL
OP00050,2026-04-09 04:00:00,S002,A004,NIGHT,93.25,124231.46,0.132,98.42,0.59,PREVENTIVE,10867.04,0,NORMAL
OP00051,2026-04-11 08:00:00,S003,A007,DAY,527.89,675528.78,0.526,95.76,0.03,NONE,0.0,0,NORMAL
OP00052,2026-04-13 12:00:00,S004,A010,DAY,280.26,381389.53,0.25,96.08,0.2,NONE,0.0,0,NORMAL
OP00053,2026-04-15 16:00:00,S001,A002,DAY,385.09,531020.42,0.687,98.62,0.04,NONE,0.0,0,NORMAL
OP00054,2026-04-17 20:00:00,S002,A005,NIGHT,108.34,142414.66,0.668,96.8,0.24,NONE,0.0,0,NORMAL
OP00055,2026-04-19 00:00:00,S003,A008,NIGHT,590.93,815479.5,0.273,96.14,0.13,NONE,0.0,0,NORMAL
OP00056,2026-04-21 04:00:00,S004,A011,NIGHT,206.57,264830.62,0.558,98.65,1.14,INSPECTION,3984.1,0,NORMAL
OP00057,2026-04-23 08:00:00,S001,A003,DAY,404.52,505677.46,0.529,96.01,1.4,PREVENTIVE,11050.06,0,NORMAL
OP00058,2026-04-25 12:00:00,S002,A006,DAY,101.99,131601.32,0.648,98.68,0.25,NONE,0.0,0,NORMAL
OP00059,2026-04-27 16:00:00,S003,A009,DAY,611.96,790222.79,0.299,95.9,4.81,CORRECTIVE,42075.99,0,WATCH
OP00060,2026-04-29 20:00:00,S004,A012,NIGHT,270.78,349343.02,0.354,98.52,0.02,NONE,0.0,0,NORMAL
OP00061,2026-05-01 00:00:00,S001,A001,NIGHT,371.49,477937.05,0.649,97.01,0.07,NONE,0.0,0,NORMAL
OP00062,2026-05-03 04:00:00,S002,A004,NIGHT,111.39,146143.16,0.692,96.82,0.21,NONE,0.0,0,NORMAL
OP00063,2026-05-05 08:00:00,S003,A007,DAY,662.69,883577.62,0.237,97.71,0.16,NONE,0.0,0,NORMAL
OP00064,2026-05-07 12:00:00,S004,A010,DAY,278.88,370706.8,0.633,97.68,1.58,PREVENTIVE,7141.93,0,NORMAL
OP00065,2026-05-09 16:00:00,S001,A002,DAY,434.11,597270.0,0.563,97.72,0.17,NONE,0.0,0,NORMAL
OP00066,2026-05-11 20:00:00,S002,A005,NIGHT,110.33,150593.27,0.343,96.51,0.16,NONE,0.0,0,NORMAL
OP00067,2026-05-13 00:00:00,S003,A008,NIGHT,625.91,828446.12,0.337,97.54,0.62,INSPECTION,2113.26,0,NORMAL
OP00068,2026-05-15 04:00:00,S004,A011,NIGHT,239.39,305417.04,0.69,97.87,0.24,NONE,0.0,0,NORMAL
OP00069,2026-05-17 08:00:00,S001,A003,DAY,405.32,511200.52,0.63,96.26,0.07,NONE,0.0,0,NORMAL
OP00070,2026-05-19 12:00:00,S002,A006,DAY,112.39,148893.66,0.553,96.15,0.21,NONE,0.0,0,NORMAL
OP00071,2026-05-21 16:00:00,S003,A009,DAY,586.21,752207.42,0.442,96.17,0.62,PREVENTIVE,13824.05,0,NORMAL
OP00072,2026-05-23 20:00:00,S004,A012,NIGHT,283.56,357097.14,0.578,96.59,0.14,NONE,0.0,0,NORMAL
OP00073,2026-05-25 00:00:00,S001,A001,NIGHT,398.68,535645.46,0.451,96.53,0.09,NONE,0.0,0,NORMAL
OP00074,2026-05-27 04:00:00,S002,A004,NIGHT,89.14,113723.99,0.379,96.19,0.17,NONE,0.0,0,NORMAL
OP00075,2026-05-29 08:00:00,S003,A007,DAY,491.31,631190.55,0.365,97.74,0.21,NONE,0.0,0,NORMAL
OP00076,2026-05-31 12:00:00,S004,A010,DAY,248.08,342819.66,0.506,97.41,0.12,NONE,0.0,0,NORMAL
OP00077,2026-06-02 16:00:00,S001,A002,DAY,472.53,628657.47,0.149,97.87,0.1,NONE,0.0,0,NORMAL
OP00078,2026-06-04 20:00:00,S002,A005,NIGHT,84.54,107809.83,0.25,96.53,0.7,INSPECTION,3258.0,0,NORMAL
OP00079,2026-06-06 00:00:00,S003,A008,NIGHT,625.53,796507.64,0.231,98.32,0.22,NONE,0.0,0,NORMAL
OP00080,2026-06-08 04:00:00,S004,A011,NIGHT,228.52,316728.23,0.589,98.61,0.09,NONE,0.0,0,NORMAL
OP00081,2026-06-10 08:00:00,S001,A003,DAY,394.03,526754.45,0.513,98.07,0.03,NONE,0.0,0,NORMAL
OP00082,2026-06-12 12:00:00,S002,A006,DAY,91.0,118627.01,0.36,98.27,0.16,NONE,0.0,0,NORMAL
OP00083,2026-06-14 16:00:00,S003,A009,DAY,668.01,850130.38,0.166,98.04,0.2,NONE,0.0,0,NORMAL
OP00084,2026-06-16 20:00:00,S004,A012,NIGHT,217.49,296241.59,0.227,97.92,0.15,NONE,0.0,0,NORMAL
OP00085,2026-06-18 00:00:00,S001,A001,NIGHT,390.03,518718.08,0.395,98.49,1.53,PREVENTIVE,13698.9,0,NORMAL
OP00086,2026-06-20 04:00:00,S002,A004,NIGHT,106.57,140468.21,0.2,95.81,0.19,NONE,0.0,0,NORMAL
OP00087,2026-06-22 08:00:00,S003,A007,DAY,544.47,759315.11,0.663,98.31,0.12,NONE,0.0,0,NORMAL
OP00088,2026-06-24 12:00:00,S004,A010,DAY,240.05,333622.75,0.663,95.99,5.62,CORRECTIVE,37216.15,0,WATCH
OP00089,2026-06-26 16:00:00,S001,A002,DAY,474.66,643105.63,0.328,97.04,0.56,INSPECTION,3892.25,0,NORMAL
OP00090,2026-06-28 20:00:00,S002,A005,NIGHT,112.46,145679.63,0.418,97.68,0.22,NONE,0.0,0,NORMAL
OP00091,2026-01-01 00:00:00,S003,A008,NIGHT,597.73,819447.25,0.241,97.57,0.01,NONE,0.0,0,NORMAL
OP00092,2026-01-03 04:00:00,S004,A011,NIGHT,230.11,293632.53,0.189,97.48,1.87,PREVENTIVE,9442.41,0,NORMAL
OP00093,2026-01-05 08:00:00,S001,A003,DAY,373.08,477603.47,0.632,96.83,0.14,NONE,0.0,0,NORMAL
OP00094,2026-01-07 12:00:00,S002,A006,DAY,92.55,115862.25,0.167,95.92,0.05,NONE,0.0,0,NORMAL
OP00095,2026-01-09 16:00:00,S003,A009,DAY,598.34,755670.48,0.382,98.35,0.09,NONE,0.0,1,ALARM
OP00096,2026-01-11 20:00:00,S004,A012,NIGHT,231.87,313997.43,0.671,96.44,0.03,NONE,0.0,0,NORMAL
OP00097,2026-01-13 00:00:00,S001,A001,NIGHT,431.39,574126.95,0.531,97.72,0.13,NONE,0.0,0,NORMAL
OP00098,2026-01-15 04:00:00,S002,A004,NIGHT,93.02,124220.98,0.508,98.46,0.09,NONE,0.0,0,NORMAL
OP00099,2026-01-17 08:00:00,S003,A007,DAY,657.41,845968.52,0.343,98.17,1.56,PREVENTIVE,10926.46,0,NORMAL
OP00100,2026-01-19 12:00:00,S004,A010,DAY,241.71,324885.5,0.209,97.2,0.47,INSPECTION,4509.61,0,NORMAL
